t,x,y
0.18600,1.21085,1.74024
0.18700,1.21736,1.74492
0.18800,1.22387,1.74958
0.18900,1.23038,1.75424
0.19000,1.23689,1.75888
0.19100,1.24340,1.76352
0.19200,1.24991,1.76815
0.19300,1.25642,1.77276
0.19400,1.26293,1.77737
0.19500,1.26944,1.78197
0.19600,1.27595,1.78655
0.19700,1.28246,1.79113
0.19800,1.28897,1.79570
0.19900,1.29548,1.80026
0.20000,1.30199,1.80481
0.20100,1.30850,1.80934
0.20200,1.31501,1.81387
0.20300,1.32152,1.81839
0.20400,1.32803,1.82290
0.20500,1.33454,1.82740
0.20600,1.34105,1.83189
0.20700,1.34756,1.83637
0.20800,1.35407,1.84084
0.20900,1.36058,1.84530
0.21000,1.36709,1.84974
0.21100,1.37360,1.85418
0.21200,1.38011,1.85862
0.21300,1.38662,1.86304
0.21400,1.39313,1.86745
0.21500,1.39964,1.87185
0.21600,1.40615,1.87624
0.21700,1.41265,1.88062
0.21800,1.41916,1.88499
0.21900,1.42567,1.88935
0.22000,1.43218,1.89370
0.22100,1.43869,1.89805
0.22200,1.44520,1.90238
0.22300,1.45171,1.90670
0.22400,1.45822,1.91101
0.22500,1.46473,1.91532
0.22600,1.47124,1.91961
0.22700,1.47775,1.92389
0.22800,1.48426,1.92816
0.22900,1.49077,1.93243
0.23000,1.49728,1.93668
0.23100,1.50379,1.94093
0.23200,1.51030,1.94516
0.23300,1.51681,1.94938
0.23400,1.52332,1.95360
0.23500,1.52983,1.95780
0.23600,1.53634,1.96200
0.23700,1.54285,1.96618
0.23800,1.54936,1.97036
0.23900,1.55587,1.97452
0.24000,1.56238,1.97868
0.24100,1.56889,1.98282
0.24200,1.57540,1.98696
0.24300,1.58191,1.99109
0.24400,1.58842,1.99520
0.24500,1.59493,1.99931
0.24600,1.60144,2.00341
0.24700,1.60795,2.00749
0.24800,1.61446,2.01157
0.24900,1.62097,2.01564
0.25000,1.62748,2.01969
0.25100,1.63399,2.02374
